trend_period,donchian_window,total_return,sharpe_ratio,max_drawdown,win_rate,num_trades
200,15,0.15216070722079295,1.9984971506921887,-0.08445304315461899,0.8035714285714286,56
200,20,0.12868908160967912,1.652497735624947,-0.08371254754396407,0.7619047619047619,42
100,30,0.09197103515097951,1.6403405345126396,-0.057626514431662224,0.8,20
200,30,0.10401538579740027,1.401303996579794,-0.08082213527496962,0.7419354838709677,31
100,20,0.08589565399373386,1.364226262276046,-0.03998948673984115,0.7575757575757576,33
175,15,0.09263733617547623,1.275119169321603,-0.08445304315461843,0.7857142857142857,56
150,15,0.08583700844740852,1.2167803618321342,-0.08445304315461799,0.7777777777777778,54
75,20,0.057982646419775116,1.2082281117539468,-0.039989486739841706,0.8260869565217391,23
175,30,0.08611813249542301,1.1888587105852237,-0.08082213527496829,0.7419354838709677,31
200,10,0.08122925947225977,1.13096774029713,-0.0772662162565938,0.7222222222222222,72
150,20,0.07578909415921607,1.1152139729614943,-0.06598506697581352,0.7435897435897436,39
100,15,0.06683035671627222,1.0708824298908708,-0.0717689984938159,0.7727272727272727,44
100,10,0.07209359365122855,1.063452179957595,-0.06430581546096581,0.6923076923076923,65
125,15,0.06811239892218746,1.016546009667097,-0.11200254042522761,0.7647058823529411,51
175,20,0.07080756929291256,0.9904025686352795,-0.0837125475439674,0.7380952380952381,42
100,25,0.06508401581503931,0.9873080766675694,-0.07037087004918008,0.7857142857142857,28
125,20,0.06559599903361704,0.9800967625461505,-0.06983461480754782,0.7297297297297297,37
150,30,0.06193730924881584,0.9199652461729283,-0.08082213527497195,0.7241379310344828,29
200,25,0.06567819778522899,0.9007560292591209,-0.08404671406471498,0.7647058823529411,34
125,30,0.04344473369734478,0.7099123939035481,-0.08082213527496562,0.72,25
175,10,0.043312048220475484,0.6456615683087165,-0.07726621625659258,0.6944444444444444,72
75,25,0.024794466905394438,0.5881009134479024,-0.06626960283853345,0.8,15
175,25,0.029701792863484844,0.4482909650953495,-0.08404671406471509,0.7428571428571429,35
75,10,0.02178387734511398,0.3933764220343347,-0.08509096406491357,0.7192982456140351,57
50,30,0.00484608281480796,0.36676571453080337,-0.012972505615011065,1.0,1
125,10,0.01997543275656717,0.33621193975954483,-0.09765439113412633,0.6805555555555556,72
125,25,0.01629239692453284,0.2864160923854195,-0.09810704084179067,0.7333333333333333,30
150,10,0.011666655947183607,0.22232102042114826,-0.0772662162565938,0.6805555555555556,72
150,25,0.008683369543517255,0.18189000417942947,-0.08404671406471464,0.7272727272727273,33
75,30,0.0017615887465550258,0.07899743011293438,-0.05762651443166289,0.7272727272727273,11
75,15,-0.010927168929945219,-0.12248976030513208,-0.09718962032225897,0.7631578947368421,38
50,10,-0.04129489816101232,-0.7958664903519097,-0.08469410097040797,0.6666666666666666,36
50,20,-0.024978065763790254,-0.811774405335775,-0.05474704344471171,0.7142857142857143,7
50,15,-0.048753177131843406,-1.0511907350622738,-0.07658031640185559,0.75,20
50,25,-0.021766234774275653,-1.1122768902401832,-0.027548088862892617,0.6666666666666666,3
