trend_period,entry_window,exit_window,chand_period,chand_mult,total_return,sharpe_ratio,max_drawdown,win_rate,avg_win,avg_loss,num_trades
200,20,15,15,4.0,0.04403221350880849,1.1670443628363236,-0.018989893282399195,0.6956521739130435,0.0060621475472616895,-0.007588038234771783,23
150,20,15,15,3.5,0.010564501778705562,0.5572013048702104,-0.01767403809982382,0.5,0.008097603167604774,-0.005930634765299249,10
200,20,15,15,3.5,0.009746203965137465,0.517216000387804,-0.017674038099824263,0.5,0.008097603167604784,-0.006091623474004214,10
200,20,15,20,4.0,0.008975260434468146,0.36805833485526857,-0.018720655557430632,0.5,0.007438620910853705,-0.006258660095567514,16
150,20,15,15,3.0,-0.00043425311505416173,-0.07304642164834371,-0.010319849115789537,0.3333333333333333,0.00999866632456515,-0.005177751257675578,3
200,20,15,15,3.0,-0.0005773324862784648,-0.08934834890070834,-0.010461513447668658,0.3333333333333333,0.00999866632456515,-0.005248936828986915,3
150,20,15,25,4.0,-0.004433155956915653,-0.15532813690191138,-0.024549813025140255,0.4,0.006346553350832479,-0.004692770281456809,15
200,20,15,25,3.5,-0.0026965270132001022,-0.2787178851143263,-0.016806615330344665,0.2,0.00999866632456515,-0.0031554923837428667,5
150,20,15,25,3.5,-0.0026965270132001022,-0.2787178851143263,-0.016806615330344665,0.2,0.00999866632456515,-0.0031554923837428667,5
200,20,15,25,4.0,-0.008270587316939963,-0.306206817116888,-0.028309704347391995,0.4,0.006346553350832468,-0.0051174841037778095,15
150,20,15,30,4.0,-0.009128022099554982,-0.35011601644320217,-0.024549813025140255,0.35714285714285715,0.006667293244229093,-0.0046927702814567795,14
200,20,15,30,3.5,-0.003130594621673117,-0.3574938475509756,-0.015823421945674654,0.25,0.00999866632456515,-0.004351322134110177,4
150,20,15,30,3.5,-0.003130594621673117,-0.3574938475509756,-0.015823421945674654,0.25,0.00999866632456515,-0.004351322134110177,4
150,20,15,20,4.0,-0.01045795937505718,-0.4075153640322213,-0.028060924569103696,0.4117647058823529,0.006766549516652158,-0.005747966979741002,17
200,20,15,20,3.5,-0.0038601559816019287,-0.42374013099748253,-0.01795378099749756,0.2,0.00999866632456515,-0.0034469752007503587,5
150,20,15,20,3.5,-0.0038601559816019287,-0.42374013099748253,-0.01795378099749756,0.2,0.00999866632456515,-0.0034469752007503587,5
150,20,15,15,4.0,-0.016002026327966816,-0.46176191110501164,-0.02670738187031685,0.5238095238095238,0.005492183927476555,-0.007590435920881417,21
200,20,15,30,4.0,-0.012947357008623477,-0.5015363947999957,-0.028309704347390663,0.35714285714285715,0.006667293244229088,-0.005117484103777808,14
